Country,Quarter,Gold_Demand_Tonnes,Year,Q,Quarter_Num,Date,QoQ_Growth,YoY_Growth
Sri Lanka,Q3'21,0.6,2021,Q3,3,2021-07-01,-0.4,-0.1428571428571428
Switzerland,Q3'21,9.1,2021,Q3,3,2021-07-01,-0.2416666666666667,0.21333333333333337
Thailand,Q3'21,8.6,2021,Q3,3,2021-07-01,0.14666666666666672,-1.1963470319634704
Turkiye,Q3'21,18.5,2021,Q3,3,2021-07-01,0.5163934426229508,-0.6666666666666667
UAE,Q3'21,10.1,2021,Q3,3,2021-07-01,0.14772727272727249,0.9423076923076921
United Kingdom,Q3'21,8.3,2021,Q3,3,2021-07-01,0.09210526315789491,0.296875
United States,Q3'21,56.2,2021,Q3,3,2021-07-01,-0.1661721068249259,0.12175648702594821
Vietnam,Q3'21,3.3,2021,Q3,3,2021-07-01,-0.7380952380952381,-0.5
Australia,Q4'21,8.9,2021,Q4,4,2021-10-01,0.36923076923076925,Inf
Austria,Q4'21,3.6,2021,Q4,4,2021-10-01,0.43999999999999995,0.16129032258064524
Brazil,Q4'21,5.1,2021,Q4,4,2021-10-01,0.3783783783783783,0.04081632653061207
Canada,Q4'21,9.1,2021,Q4,4,2021-10-01,0.9782608695652175,0.21333333333333337
China,Q4'21,264.2,2021,Q4,4,2021-10-01,0.15522518583296896,0.23055426176059624
Egypt,Q4'21,8.5,2021,Q4,4,2021-10-01,-0.05555555555555558,0.14864864864864868
France,Q4'21,7.2,2021,Q4,4,2021-10-01,1.25,0.41176470588235303
Germany,Q4'21,45.4,2021,Q4,4,2021-10-01,0.26815642458100575,0.06572769953051627
India,Q4'21,343.9,2021,Q4,4,2021-10-01,1.0470238095238096,0.846938775510204
Indonesia,Q4'21,14,2021,Q4,4,2021-10-01,0.06870229007633588,0.1200000000000001
Islamic Republic of Iran,Q4'21,14.9,2021,Q4,4,2021-10-01,-0.03246753246753242,0.10370370370370363
Italy,Q4'21,8.9,2021,Q4,4,2021-10-01,2.2962962962962963,0.17105263157894757
Japan,Q4'21,1.2,2021,Q4,4,2021-10-01,-0.7966101694915254,-0.7209302325581395
"Korea, Republic of",Q4'21,10.2,2021,Q4,4,2021-10-01,0.1208791208791209,0.04081632653061207
Kuwait,Q4'21,3.9,2021,Q4,4,2021-10-01,0.054054054054053946,0.1470588235294117
Malaysia,Q4'21,5.1,2021,Q4,4,2021-10-01,1.318181818181818,0.3421052631578947
Mexico,Q4'21,3.9,2021,Q4,4,2021-10-01,0.11428571428571432,0.21875
Pakistan,Q4'21,10.3,2021,Q4,4,2021-10-01,0.06185567010309301,0.1573033707865168
Russian Federation,Q4'21,13,2021,Q4,4,2021-10-01,0.023622047244094446,0.28712871287128716
Saudi Arabia,Q4'21,12.1,2021,Q4,4,2021-10-01,0.09999999999999987,0.3296703296703296
Singapore,Q4'21,3.2,2021,Q4,4,2021-10-01,0.5238095238095237,0.18518518518518512
Spain,Q4'21,2.5,2021,Q4,4,2021-10-01,0.38888888888888884,0.19047619047619047
Sri Lanka,Q4'21,0.8,2021,Q4,4,2021-10-01,0.3333333333333335,-0.5294117647058822
Switzerland,Q4'21,9.7,2021,Q4,4,2021-10-01,0.06593406593406592,0.01041666666666674
Thailand,Q4'21,12.4,2021,Q4,4,2021-10-01,0.4418604651162792,-3.339622641509434
Turkiye,Q4'21,11.3,2021,Q4,4,2021-10-01,-0.3891891891891891,-0.6834733893557423
UAE,Q4'21,12,2021,Q4,4,2021-10-01,0.18811881188118806,0.4814814814814816
United Kingdom,Q4'21,12.9,2021,Q4,4,2021-10-01,0.5542168674698795,0.21698113207547176
United States,Q4'21,83.1,2021,Q4,4,2021-10-01,0.47864768683274006,0.24401197604790426
Vietnam,Q4'21,8.5,2021,Q4,4,2021-10-01,1.5757575757575757,-0.11458333333333326
Australia,Q1'22,10.3,2022,Q1,1,2022-01-01,0.1573033707865168,0.3376623376623378
Austria,Q1'22,3.7,2022,Q1,1,2022-01-01,0.0277777777777779,0.15625
Brazil,Q1'22,3.4,2022,Q1,1,2022-01-01,-0.33333333333333326,0.030303030303030276
Canada,Q1'22,6.1,2022,Q1,1,2022-01-01,-0.3296703296703297,0.12962962962962954
China,Q1'22,234.9,2022,Q1,1,2022-01-01,-0.11090083270249806,-0.18804009678534395
Egypt,Q1'22,12.2,2022,Q1,1,2022-01-01,0.43529411764705883,0.3707865168539324
France,Q1'22,4.4,2022,Q1,1,2022-01-01,-0.38888888888888884,0.1578947368421053
Germany,Q1'22,48.7,2022,Q1,1,2022-01-01,0.07268722466960353,0.06798245614035081
India,Q1'22,135.5,2022,Q1,1,2022-01-01,-0.6059901134050596,-0.18275030156815442
Indonesia,Q1'22,10.5,2022,Q1,1,2022-01-01,-0.25,-0.08695652173913049
Islamic Republic of Iran,Q1'22,17.7,2022,Q1,1,2022-01-01,0.18791946308724827,0.4508196721311475
Italy,Q1'22,2.5,2022,Q1,1,2022-01-01,-0.7191011235955056,0.13636363636363624
Japan,Q1'22,-6.8,2022,Q1,1,2022-01-01,-6.666666666666667,-1.829268292682927
"Korea, Republic of",Q1'22,9.1,2022,Q1,1,2022-01-01,-0.10784313725490191,-0.1651376146788991
Kuwait,Q1'22,4.1,2022,Q1,1,2022-01-01,0.05128205128205132,-0.08888888888888902
Malaysia,Q1'22,5.2,2022,Q1,1,2022-01-01,0.019607843137255054,0.23809523809523814
Mexico,Q1'22,3.2,2022,Q1,1,2022-01-01,-0.1794871794871794,0
Pakistan,Q1'22,9.7,2022,Q1,1,2022-01-01,-0.058252427184466105,-0.18487394957983205
Russian Federation,Q1'22,13.9,2022,Q1,1,2022-01-01,0.0692307692307692,0.34951456310679596
Saudi Arabia,Q1'22,11.7,2022,Q1,1,2022-01-01,-0.03305785123966942,0.06363636363636349
Singapore,Q1'22,4.1,2022,Q1,1,2022-01-01,0.2812499999999998,0.17142857142857126
Spain,Q1'22,1.7,2022,Q1,1,2022-01-01,-0.32000000000000006,0.0625
Sri Lanka,Q1'22,2.2,2022,Q1,1,2022-01-01,1.75,0.22222222222222232
Switzerland,Q1'22,13.5,2022,Q1,1,2022-01-01,0.3917525773195878,0.03846153846153855
Thailand,Q1'22,3.8,2022,Q1,1,2022-01-01,-0.6935483870967742,-0.5421686746987953
Turkiye,Q1'22,17.6,2022,Q1,1,2022-01-01,0.5575221238938053,-0.6691729323308271
UAE,Q1'22,14.5,2022,Q1,1,2022-01-01,0.20833333333333326,0.3551401869158879
United Kingdom,Q1'22,7.1,2022,Q1,1,2022-01-01,-0.4496124031007752,0.18333333333333335
United States,Q1'22,57.6,2022,Q1,1,2022-01-01,-0.3068592057761732,-0.010309278350515538
Vietnam,Q1'22,19.6,2022,Q1,1,2022-01-01,1.3058823529411767,0.053763440860215006
Australia,Q2'22,8.3,2022,Q2,2,2022-04-01,-0.19417475728155342,0.06410256410256432
Austria,Q2'22,3,2022,Q2,2,2022-04-01,-0.18918918918918926,0.034482758620689724
Brazil,Q2'22,4.4,2022,Q2,2,2022-04-01,0.2941176470588236,0.04761904761904767
Canada,Q2'22,7.1,2022,Q2,2,2022-04-01,0.16393442622950816,0.02898550724637672
China,Q2'22,148.4,2022,Q2,2,2022-04-01,-0.3682418050234142,-0.2983451536643026
Egypt,Q2'22,10.3,2022,Q2,2,2022-04-01,-0.15573770491803263,0.3205128205128207
France,Q2'22,4.3,2022,Q2,2,2022-04-01,-0.022727272727272818,0.48275862068965525
Germany,Q2'22,51.5,2022,Q2,2,2022-04-01,0.05749486652977409,0.09808102345415781
India,Q2'22,170.7,2022,Q2,2,2022-04-01,0.25977859778597767,0.4272575250836119
Indonesia,Q2'22,9.4,2022,Q2,2,2022-04-01,-0.10476190476190472,0.16049382716049387
Islamic Republic of Iran,Q2'22,14.5,2022,Q2,2,2022-04-01,-0.1807909604519774,0.5425531914893615
Italy,Q2'22,3.8,2022,Q2,2,2022-04-01,0.52,0.11764705882352944
Japan,Q2'22,0.1,2022,Q2,2,2022-04-01,-1.0147058823529411,-0.5
"Korea, Republic of",Q2'22,8.4,2022,Q2,2,2022-04-01,-0.07692307692307687,-0.1063829787234043
Kuwait,Q2'22,4.8,2022,Q2,2,2022-04-01,0.17073170731707332,0.09090909090909083
Malaysia,Q2'22,4.5,2022,Q2,2,2022-04-01,-0.1346153846153847,0.36363636363636376
Mexico,Q2'22,3.5,2022,Q2,2,2022-04-01,0.09375,0
Pakistan,Q2'22,11.5,2022,Q2,2,2022-04-01,0.18556701030927836,0.25
Russian Federation,Q2'22,15,2022,Q2,2,2022-04-01,0.07913669064748197,0.38888888888888884
Saudi Arabia,Q2'22,12.2,2022,Q2,2,2022-04-01,0.042735042735042805,0.20792079207920788
Singapore,Q2'22,3.8,2022,Q2,2,2022-04-01,-0.07317073170731703,0.4074074074074072
Spain,Q2'22,2,2022,Q2,2,2022-04-01,0.17647058823529416,0.05263157894736836
Sri Lanka,Q2'22,0.4,2022,Q2,2,2022-04-01,-0.8181818181818181,-0.6
Switzerland,Q2'22,11.6,2022,Q2,2,2022-04-01,-0.14074074074074072,-0.033333333333333326
Thailand,Q2'22,8.5,2022,Q2,2,2022-04-01,1.236842105263158,0.1333333333333333
Turkiye,Q2'22,17.8,2022,Q2,2,2022-04-01,0.011363636363636243,0.459016393442623
UAE,Q2'22,15.4,2022,Q2,2,2022-04-01,0.0620689655172415,0.75
United Kingdom,Q2'22,8.1,2022,Q2,2,2022-04-01,0.14084507042253525,0.06578947368421062
United States,Q2'22,65.5,2022,Q2,2,2022-04-01,0.13715277777777768,-0.028189910979228516
Vietnam,Q2'22,14,2022,Q2,2,2022-04-01,-0.2857142857142858,0.11111111111111116
Australia,Q3'22,9,2022,Q3,3,2022-07-01,0.0843373493975903,0.3846153846153846
